NP_459021.1	Q8ZS11
NP_461859.1	Q8ZMF2
NP_460294.1	Q8ZPT3
NP_461703.1	Q8ZMN1
NP_463355.1	Q8ZK11
NP_460799.1	Q8ZNZ6
NP_459563.1	Q8ZR51
NP_461033.1	P26400
NP_460707.1	Q7CQF4
NP_462130.1	Q8ZLX9
NP_461550.1	Q8ZMY7
NP_459348.1	Q8ZRG7
NP_461388.1	Q9ZFU6
NP_459499.1	Q8ZR92
NP_460733.1	P0A1Q6
NP_461997.1	Q8ZM60
NP_459669.1	Q8ZQX7
NP_461816.1	P0A1N0
NP_459239.1	Q8ZRN7
NP_462477.1	Q8ZLE5
NP_460458.1	Q8ZPJ7
NP_462372.1	P06193
NP_462384.1	P0A2P2
NP_462903.1	Q9L7S0
NP_460285.1	Q8ZPU0
NP_463237.1	Q8ZK95
NP_461153.1	Q8ZNK4
NP_460748.1	Q8ZP24
NP_461692.1	Q8ZMN9
NP_459788.1	Q8ZQP6
NP_460893.1	Q7CQC0
NP_459522.1	Q8ZR77
NP_459632.1	Q8ZR00
NP_459327.1	Q8ZRI7
NP_459625.1	Q8ZR04
NP_463456.1	Q8ZJT6
NP_463124.1	Q8ZKG7
NP_459186.1	Q8ZRR1
NP_463378.1	Q8ZJZ3
NP_461780.1	P0CL46
NP_462650.1	Q7CPH1
NP_460137.1	Q8ZQ19
NP_462449.1	Q8ZLF9
NP_462746.1	Q8ZKY1
NP_463270.1	Q7CP88
NP_459572.1	Q8ZR43
NP_460249.1	Q8ZPW4
NP_461181.1	Q8ZNI7
NP_463326.1	Q8ZK34
NP_462424.1	Q8ZLH7
NP_463342.1	Q8ZK24
NP_461942.1	Q8ZM93
NP_463294.1	Q8ZK50
NP_462619.1	Q06994
NP_462840.1	Q9L6P1
NP_461347.1	Q8ZNA1
NP_459137.1	Q7CR80
NP_460616.1	Q8ZP86
NP_459319.1	P40861
NP_462703.1	Q8ZL08
NP_462591.1	Q8ZL64
NP_460037.1	Q7CQT5
NP_463076.1	Q8ZKJ4
NP_460180.1	P67366
NP_461277.1	P60817
NP_459778.1	Q8ZQQ2
NP_462584.1	Q8ZL68
NP_462555.1	Q8ZL96
NP_462997.1	Q8ZKM1
NP_459941.1	Q7CQU3
NP_460455.1	Q8ZPK0
NP_460018.1	Q8ZQ85
NP_459424.1	P96062
NP_459206.1	O87663
NP_461056.1	H9L470
NP_461104.1	Q8ZNN1
NP_462344.1	P60446
NP_462979.1	Q8ZKN6
NP_461860.1	Q8ZMF1
NP_462400.1	Q8ZLJ5
NP_459089.1	Q8ZRW4
NP_460782.1	Q8ZP07
NP_460110.1	P0A204
NP_459391.1	Q8ZRE2
NP_459592.1	Q8ZR28
NP_461303.1	Q8ZNC3
NP_460347.1	H9L428
NP_463229.1	Q7CP94
NP_462236.1	Q8ZLR7
NP_459633.1	P67520
NP_463316.1	P36640
NP_463353.1	Q8ZK13
NP_459433.1	Q8ZRC6
NP_461799.1	P74873
NP_460471.1	P69936
NP_461160.1	Q8ZNK0
NP_460852.1	P66746
NP_459649.1	Q8ZQY8
NP_459277.1	Q93IS3
NP_461147.1	Q8ZNK7
NP_461540.1	Q8ZMZ7
NP_459153.1	H9L4B4
NP_462200.1	P37430
NP_461483.1	P26474
NP_460354.1	H9L4B1
NP_461125.1	Q7CQ82
NP_462137.1	Q8ZLX3
NP_462147.1	Q8ZLW8
NP_462225.1	Q8ZLS1
NP_461981.1	Q7CPU8
NP_461184.1	P0CE12
NP_459580.1	Q8ZR37
NP_460318.1	Q8ZPS0
NP_461424.1	Q8ZN71
NP_462450.1	Q8ZLF8
NP_463146.1	Q8ZKF1
NP_459362.1	P74839
NP_460237.1	Q8ZPX5
NP_462533.1	Q8ZLA8
NP_462301.1	Q8ZLN4
NP_460525.1	Q8ZPE8
NP_462938.1	Q8ZKR7
NP_462929.1	P0A2S9
NP_462824.1	P0A1Q8
NP_459368.1	Q8ZRF8
NP_461680.1	Q8ZMQ1
NP_461717.1	Q8ZMM2
NP_461079.1	Q8ZNP5
